blog_link,title,date,topic,label,brief,claim,fact_check,tags,claim_name_entity,claim_organisation_entity,claim_location_entity,claim_misc_entity,fact_check_name_entity,fact_check_organisation_entity,fact_check_location_entity,fact_check_misc_entity
https://www.facebook.com/105233207808602/posts/121632662835323,حقيقة تحذير منظمة الصحة العالمية من تداعيات ظهور فيروس كورونا في ليبيا,2020-04-28,منوعات,صحيح,,,,"صحافة , اعلام","المنظري
أحمد المنظري","لمنظمة الصحة العالمية
منظمة الصحة العالمية","سوريا
واليمن
وسوريا
ليبيا
وليبيا","كورونا
الله","المنظري
أحمد المنظري","لمنظمة الصحة العالمية
منظمة الصحة العالمية","سوريا
واليمن
وسوريا
ليبيا
وليبيا","كورونا
الله"
https://www.facebook.com/100064299542535/posts/517000670453247,"هل هذه الصور جديدة لـ""أبو عجيلة مسعود المريمي"" من سجنه في أمريكا؟",2022-12-13,منوعات,غير صحيح جزئياً,,,,"صحافة , اعلام","أبو عجيلة المريمي
أبو عجيلة مسعود المريمي
مسعود أبوعجيلة
محمد خليفة",,"أمريكا
لوكربي",,"أبو عجيلة المريمي
أبو عجيلة مسعود المريمي
مسعود أبوعجيلة
محمد خليفة",,"أمريكا
لوكربي",
https://www.facebook.com/105233207808602/posts/118158866516036,حقيقة إعلان شفاء أول مريض بفيروس كورونا في مدينة بنغازي,2020-04-20,منوعات,صحيح,,,,"صحافة , اعلام",,,بنغازي,"كورونا
الله
لله",,,بنغازي,"كورونا
الله
لله"
https://www.facebook.com/105233207808602/posts/121400799525176,حقيقة انتشار شائعة كويكب يهدد الأرض غداً 29 أبريل 2020,2020-04-28,منوعات,غير صحيح,,,,"صحافة , اعلام",,"jpl
NASA
لناسا
asteroid
تويتر
nasa
AsteroidWatch
نورني
ناسا",,,,"jpl
NASA
لناسا
asteroid
تويتر
nasa
AsteroidWatch
نورني
ناسا",,
https://www.facebook.com/100064299542535/posts/535416401945007,هل بسكويت أوريو يحتوي على دهن الخنزير؟ - الحقيقة وراء الادعاءات,2023-01-06,منوعات,غير صحيح,,,,"صحافة , اعلام",,"هيئة
أوريو
تويتر
أوريو للبيسكويت
Saudi","وباكستان
السعودية
للشّرق
أفريقيا","أوريو
Oreo",,"هيئة
أوريو
تويتر
أوريو للبيسكويت
Saudi","وباكستان
السعودية
للشّرق
أفريقيا","أوريو
Oreo"
https://www.facebook.com/105233207808602/posts/124059912592598,صور شاب ليبي يرسم بالملح كـ ادعاء مضلل,2020-05-04,منوعات,غير صحيح,,,,"صحافة , اعلام","إسماعيل هجيلة
إسماعيل","نورني
كيفاش",,,"إسماعيل هجيلة
إسماعيل","نورني
كيفاش",,
https://www.facebook.com/105233207808602/posts/121862022812387,حقيقة تصريحات الشيخ عبدالرحمن السديس بشأن عودة الصلاة والطواف والسعي في الحرمين الشريفين,2020-04-29,منوعات,صحيح,,,,"صحافة , اعلام","السديس
عبدالرحمن السديس","نورني
saudi
العربية
alarabiya",,"المسجد الحرام
الحرم","السديس
عبدالرحمن السديس","نورني
saudi
العربية
alarabiya",,"المسجد الحرام
الحرم"
https://www.facebook.com/105233207808602/posts/124688279196428,فحص حقيقة انقطاع الإنترنت عن ليبيا يوم الخميس,2020-05-06,منوعات,غير صحيح,,,,"صحافة , اعلام",,,ليبيا,,,,ليبيا,
https://www.facebook.com/105233207808602/posts/456609146004338,تحقق: مزاعم تداول صورة الدكتورة سيرين العقوري وعمليتها الجراحية,2022-01-31,منوعات,غير صحيح,,,,"صحافة , اعلام","مجدي يعقوب
هالة قطناني
سيرين العقوري","ديار
safa
صفا
النهار
deyar48","السويد
بأسوان
باريس",,"مجدي يعقوب
هالة قطناني
سيرين العقوري","ديار
safa
صفا
النهار
deyar48","السويد
بأسوان
باريس",
https://www.facebook.com/105233207808602/posts/128236915508231,هل ظهر لفظ الجلالة في سماء مدن مصرية؟ فحص حقيقة الصورة المنتشرة في شهر رمضان,2020-05-15,منوعات,غير صحيح,,,,"صحافة , اعلام","nusaybinde
dogruhaber
nusaybin039de","bbc
BBC
sanalbasin
Pareidolia","تركيا
بورسعيد
Nusaybin
ومرسى مطروح
وسيناء","ويكيبيديا
الله
الباريدوليا","nusaybinde
dogruhaber
nusaybin039de","bbc
BBC
sanalbasin
Pareidolia","تركيا
بورسعيد
Nusaybin
ومرسى مطروح
وسيناء","ويكيبيديا
الله
الباريدوليا"
https://www.facebook.com/105233207808602/posts/117117009953555,فحص صحة بدء وصول المياه إلى #طرابلس والمناطق المحيطة بها,2020-04-18,منوعات,صحيح,,,,"صحافة , اعلام",,,طرابلس,,,,طرابلس,
https://www.facebook.com/105233207808602/posts/432816555050264,كشف حقيقة مقاطع الفيديو المضللة التي تظهر تعذيب أفارقة في ليبيا,2021-12-23,منوعات,غير صحيح,,,,"صحافة , اعلام","الجغبوب
kaduna
kidnapped
نورني","نورني
EllenNkemMiss
neptuneprime
تويتر","ليبيا
طبرق
كادونا",,"الجغبوب
kaduna
kidnapped
نورني","نورني
EllenNkemMiss
neptuneprime
تويتر","ليبيا
طبرق
كادونا",
https://www.facebook.com/105233207808602/posts/128906678774588,تحقق: قرارات حكومة الوفاق في طرابلس بشأن تمديد حظر التجول والحظر الكلي في أيام عيد الفطر,2020-05-17,منوعات,صحيح,,,,"صحافة , اعلام",,,طرابلس,الله,,,طرابلس,الله
