blog_link,blog_title,date,topic,label,claim,fact_check,publisher_names,publisher_links,reference_names,references,claim_name_entity,claim_organisation_entity,claim_location_entity,claim_misc_entity,fact_check_name_entity,fact_check_organisation_entity,fact_check_location_entity,fact_check_misc_entity
https://misbar.com/factcheck/2022/09/09/الصورة-ليست-لانتشال-جثث-مهاجرين-غرقوا-قبالة-السواحل-التونسية-حديثا,الصورة ليست لانتشال جثث مهاجرين غرقوا قبالة السواحل التونسية حديثًا,9 سبتمبر 2022,أخبار,مضلل,,,,"https://www.attessia.tv/news/social/838005/%D8%A7%D9%84%D8%B9%D8%AB%D9%88%D8%B1-%D8%B9%D9%84%D9%89-%D8%AC%D8%AB%D8%AB-%D8%AD%D8%B1%D8%A7%D9%82%D8%A9-%D8%A8%D8%B3%D9%88%D8%A7%D8%AD%D9%84-%D8%A7%D9%84%D8%B4%D8%A7%D8%A8%D8%A9?fbclid=IwAR2w4h5hKYnokNXsfX2YGRvfzrCwo0JqiWbAYupPLAXKoFB1T56B6Nuetrc
https://www.facebook.com/gabesnanews/posts/pfbid0TaqhJZzYZKNTYy2rQ7yj3tjRaXzM8JoxcEew4f7AZj8HYQAqJd2KzC2e1atg85T5l
https://www.facebook.com/100084113583493/posts/pfbid021RN7mH3wRugRaDDDnp4izft7GV791WexXFiW7L5uyseUMj7gEW7M128kcZc3FGEHl
https://www.facebook.com/101859205883651/posts/pfbid0bQwF1GBSigKEBGRz2RwmaKsUApS6GQ6y42yMdsay9MjWbR4YqAdPpWXD1SAFo28ml
https://www.facebook.com/groups/464921565366368/posts/592622052596318/
https://www.facebook.com/arc.enciel.33449138/posts/pfbid02iqfDKMxQn9t73VWdRbK6snyRrriy1oHbtC8L35khgrVYV2RhewXgRGSncChr5ABCl
https://www.facebook.com/395378421083670/posts/pfbid034bPAKYt2JaaSscdKanQgp17SFzr5pffFHRQUdnY2BzgXP3rzei2g9x1K6hUvEad8l
https://www.facebook.com/sawet.elhamma.news/posts/pfbid0fxMGtrxk7GtRAaGSvJyGu6f2bhrEggMBt9aYgoZmAyKm4dfYbLm2dwwCMpQ6fnrol
https://www.facebook.com/100057257057824/posts/pfbid0mFzgFn3sKi2JZr2JeEfH7cFyZQWTfuLCZMKyKddxRwqNHqKyiVziuvVHavQpjNvLl",,"https://www.gettyimages.in/detail/news-photo/graphic-content-a-representative-of-the-tunisian-red-news-photo/1154083828?adppopup=true
https://www.aljazeera.com/news/2019/7/4/dozens-of-migrants-feared-dead-after-boat-capsizes-off-tunisia
https://www.reuters.com/article/tunisia-migrants-europe-idINKCN1U902J
https://apnews.com/article/europe-ap-top-news-tripoli-khalifa-hifter-north-africa-575c5818749d4bc2b3a45428ff6fe905#:~:text=BENGHAZI%2C%20Libya%20(AP)%20%E2%80%94,amount%20to%20a%20war%20crime.
https://www.reuters.com/world/africa/eight-migrants-die-15-missing-after-boat-sinks-off-tunisia-2022-09-08/
https://www.alaraby.co.uk/society/%D8%BA%D8%B1%D9%82-%D9%85%D8%B1%D9%83%D8%A8-%D9%8A%D8%AD%D9%85%D9%84-38-%D9%85%D9%87%D8%A7%D8%AC%D8%B1%D8%A7%D9%8B-%D9%82%D8%A8%D8%A7%D9%84%D8%A9-%D8%A7%D9%84%D8%B3%D9%88%D8%A7%D8%AD%D9%84-%D8%A7%D9%84%D8%AA%D9%88%D9%86%D8%B3%D9%8A%D8%A9",,فسبوك,"تونس
الشابة",,,,"تونس
أوروبا
صفاقس
إيطاليا
الشابة
ليبيا",
https://misbar.com/factcheck/2022/08/20/لا-صحة-لخبر-إقالة-الريسوني-من-رئاسة-الاتحاد-العالمي-لعلماء-المسلمين,لا صحة لخبر إقالة الريسوني من رئاسة الاتحاد العالمي لعلماء المسلمين,20 أغسطس 2022,روحانيات ودين,زائف,,,,"https://akhbaralbalad.site/2022/08/18/%D8%B9%D8%A7%D8%AC%D9%84-%D8%A7%D9%84%D8%B1%D9%8A%D8%B3%D9%88%D9%86%D9%8A-%D9%85%D9%86-%D8%A5%D8%AA%D8%AD%D8%A7%D8%AF-%D8%A7%D9%84%D8%B9%D9%84%D9%85%D8%A7%D8%A1%D9%85%D9%86%D8%B0-%D9%8A%D9%88%D9%85/
https://www.facebook.com/nkchott/posts/pfbid0Q9xVuPzLAmCrULTfvXsF1ok8ZbsEiTby9oWmsvWxTStDPAvDkH2Zck5uLYx5Y6iFl
https://www.facebook.com/cheikhoul.owaho/posts/pfbid02EkfpehCbLyZgFBArUNeUP3pJv4Xxxs2xeeoGUrNv5HXWrPHMXpLMmLK4rmmqW9H4l
https://www.facebook.com/sidi.beyedy/posts/pfbid02F4oKdtz3ViCEADCZatXeUZVAKyD7tgYSGeaGFCcYsm4vx4nHRJjSvtrYrTad5Gv9l
https://www.youtube.com/watch?v=peEyyNvq7vc",,"https://www.alaraby.co.uk/politics/%D8%A7%D9%84%D8%A7%D8%AA%D8%AD%D8%A7%D8%AF-%D8%A7%D9%84%D8%B9%D8%A7%D9%84%D9%85%D9%8A-%D9%84%D8%B9%D9%84%D9%85%D8%A7%D8%A1-%D8%A7%D9%84%D9%85%D8%B3%D9%84%D9%85%D9%8A%D9%86-%D8%AA%D8%B5%D8%B1%D9%8A%D8%AD%D8%A7%D8%AA-%D8%A7%D9%84%D8%B1%D9%8A%D8%B3%D9%88%D9%86%D9%8A-%D8%AA%D9%84%D8%B2%D9%85%D9%87-%D9%88%D8%AD%D8%AF%D9%87
https://iumsonline.org/ar/ContentDetails.aspx?ID=25973&fbclid=IwAR1GAv6wMiLDAAiCT4qfwVlXmDxITCmBKWD00-OMAMNXk6hDHjFxHFZgjok
https://iumsonline.org/ar/ContentDetails.aspx?ID=26002
https://www.bbc.com/arabic/trending-62569576
https://raissouni.net/%d8%a7%d9%84%d8%b3%d9%8a%d8%b1%d8%a9-%d8%a7%d9%84%d8%b0%d8%a7%d8%aa%d9%8a%d8%a9
https://twitter.com/iumsonline/status/1559822408189710336
https://www.facebook.com/unionofmuslimscholars/posts/443634707695575
https://www.facebook.com/unionofmuslimscholars/posts/pfbid0326finuE2PE5xDNEuMU5pNXeCQBVYWhkEhMXm75iwMa3U1QDJn9RvC8EW3SQfegtMl",أحمد الريسوني,الاتحاد العالمي لعلماء المسلمين,,,"الريسوني
للريسوني
علي القره داغي
أحمد الريسوني","الاتحاد العالمي لعلماء المسلمين
بلانكا بريس
جبهة البوليساريو
رابطة العالم الإسلامي","المغرب
الجزائر
وموريتانيا
تندوف
موريتانيا
الصحراء",
https://misbar.com/factcheck/2020/11/23/فيديو-قديم-لا-علاقة-له-بأحداث-الصحراء-الغربية-الأخيرة,فيديو قديم لا علاقة له بأحداث الصحراء الغربية الأخيرة,23 نوفمبر 2020,سياسة,مضلل,,,,"https://www.youtube.com/watch?v=mHxMMKzr430&feature=emb_logo
https://www.youtube.com/watch?v=fcw1gA_4fGI
https://fb.watch/1Xv-LXwhX1/",,"https://dailytimewaster.blogspot.com/2019/08/shaheeds-gone-wrong.html
https://ru.telegram.one/new_militarycolumnist/17967
https://ru.telegram.one/tvjihad/5656",,جبهة البوليساريو,الصحراء الغربية,,,"وجبهة البوليساريو
البوليساريو
البوليساريوهذه","المغرب
الكركرات",
https://misbar.com/factcheck/2023/09/13/الصورة-قديمة-وليست-لعاصفة-ناتجة-عن-إعصار-دانيال,الصورة قديمة وليست لعاصفة ناتجة عن إعصار دانيال,13 سبتمبر 2023,أخبار,مضلل,,,,"https://www.facebook.com/dark.watani.ANP.DZ16/posts/pfbid02fxZHm3wEnhMMRg2oE3FVko33cwMG9QhBBChWuPdYpZEYGyDxddzXvoPZ4w2juZnrl
https://www.facebook.com/100046772044161/posts/pfbid0eqFWK5WB4AadQBtKvUu9H7yiV2DyNcbDhFmqTptCKzw18Zou7WaMWvEsQKtKJz1gl
https://www.facebook.com/groups/799697090846052/posts/1521290098686744
https://www.facebook.com/nour.kenawy.353/posts/pfbid0jZuz4nfMuTdWLZry5gmS1Y2mEBxRWoi24HYE9dMA9Ys2TBByqJ73bgwNwx3j63D4l
https://www.facebook.com/100061733078810/posts/pfbid0jfhfvJ2KGWY25ZnSTkwsGqxezSGxYqr2Y39aTbJBc4F7hbmy1aEvLTN9cZkqMvLol
https://www.facebook.com/100008624648219/posts/pfbid0RpHGz32BEhtHWMALskRbnwJfme34iv5Yb3JjSTsGLAfUCSwp1FiRVHFWCJR7Wqqul",,"https://www.theguardian.com/global/video/2020/jan/20/drone-footage-shows-massive-dust-storm-sweeping-across-central-new-south-wales-video
https://www.youtube.com/watch?v=Esz6ne9x9yM
https://www.dailymail.co.uk/news/article-7905869/Dust-storm-NSW-Teacher-shares-photo-daughter-running-red-wall.html
https://www.news.com.au/technology/environment/monster-dust-storms-a-new-norm-for-rural-towns/news-story/91b36dc3b5d7c3e23a08d86c8d60845c
https://misbar.com/factcheck/2023/09/12/%D8%A7%D9%84%D8%B5%D9%88%D8%B1%D8%A9-%D9%82%D8%AF%D9%8A%D9%85%D8%A9-%D9%88%D9%84%D9%8A%D8%B3%D8%AA-%D9%85%D9%86-%D8%A7%D9%84%D8%A5%D8%B3%D9%83%D9%86%D8%AF%D8%B1%D9%8A%D8%A9-%D8%AC%D8%B1%D8%A7%D8%A1-%D8%A5%D8%B9%D8%B5%D8%A7%D8%B1-%D8%AF%D8%A7%D9%86%D9%8A%D8%A7%D9%84
https://lens.almasryalyoum.com/album/40637/2195210
https://www.almasryalyoum.com/news/details/2980567
https://www.bbc.com/arabic/articles/c516vm3l04go
https://arabic.cnn.com/middle-east/article/2023/09/11/egypt-hurricane-daniel
https://www.alaraby.com/news/%D8%A8%D8%B9%D8%AF-%D9%85%D8%A3%D8%B3%D8%A7%D8%A9-%D8%A7%D9%84%D8%A5%D8%B9%D8%B5%D8%A7%D8%B1-%D8%AF%D8%A7%D9%86%D9%8A%D8%A7%D9%84-%D9%85%D8%B5%D8%B1-%D8%AA%D8%B1%D9%81%D8%B9-%D8%AF%D8%B1%D8%AC%D8%A9-%D8%A7%D9%84%D8%A7%D8%B3%D8%AA%D8%B9%D8%AF%D8%A7%D8%AF-%D9%84%D9%85%D9%88%D8%A7%D8%AC%D9%87%D8%A9-%D8%B7%D9%82%D8%B3-%D8%B3%D9%8A%D8%A6",,,"ليبيا
مصر",دانيال,"دانيال
منار غانم",المصري اليوم,"باركس
نيو ساوث ويلز
أسترالياوضربت
ساوث ويلز
ليبياويأتي
أسترالياتعود
مصر
مصرأعلنت
السويس
ليبيا
القاهرة
مصروصول",دانيال
https://misbar.com/factcheck/2024/08/13/الفيديو-المنسوب-لصدام-حسين-وهو-يقول-إن-تحرير-فلسطين-لا-يتم-إلا-بمساعدة-إيران-مجتزأ,الفيديو المنسوب لصدام حسين وهو يقول إنّ تحرير فلسطين لا يتم إلا بمساعدة إيران مجتزأ,13 أغسطس 2024,سياسة,مضلل,,,,"https://x.com/najahmalii/status/1822943381586100395
https://x.com/Mohamma77827548/status/1821483210959696183
https://x.com/MNadwn76909/status/1822983908696187337
https://x.com/AlraieEssam/status/1821969307854893217
https://x.com/whitefang1942/status/1821768947919683651",,"https://www.youtube.com/watch?v=O-zcpU3zhzM&t=180s
https://www.youtube.com/watch?v=DQO4tDhrDbQ
https://www.youtube.com/watch?v=YdyNwkkgTlA
https://www.youtube.com/watch?v=gpq5349nC4Q
https://www.aljazeera.net/news/2024/8/11/%D8%A5%D9%8A%D8%B1%D8%A7%D9%86-%D9%84%D8%A5%D8%B3%D8%B1%D8%A7%D8%A6%D9%8A%D9%84-%D8%A7%D9%84%D8%AB%D8%A3%D8%B1-%D9%84%D9%87%D9%86%D9%8A%D8%A9-%D9%88%D8%A7%D8%AC%D8%A8-%D8%AF%D9%8A%D9%86%D9%8A
https://ar.irna.ir/news/85566238/%D8%A7%D9%84%D8%B1%D8%A6%D9%8A%D8%B3-%D8%A8%D8%B2%D8%B4%D9%83%D9%8A%D8%A7%D9%86-%D9%88%D9%81%D9%82%D8%A7-%D9%84%D9%84%D9%82%D8%A7%D9%86%D9%88%D9%86-%D8%A7%D9%84%D8%AF%D9%88%D9%84%D9%8A-%D8%A7%D9%8A%D8%B1%D8%A7%D9%86-%D8%AA%D9%85%D8%AA%D9%84%D9%83-%D8%A7%D9%84%D8%AD%D9%82-%D9%81%D9%8A-%D8%A7%D9%84%D8%B1%D8%AF
https://www.youtube.com/watch?v=ndc0b_Q4fjY
https://www.bbc.com/arabic/world-54239290
https://www.alaraby.co.uk/politics/%D9%82%D9%86%D8%A7%D8%A9-%D8%A5%D9%8A%D8%B1%D8%A7%D9%86%D9%8A%D8%A9-%D8%AD%D9%83%D9%88%D9%85%D9%8A%D8%A9-%D8%A5%D8%B3%D9%85%D8%A7%D8%B9%D9%8A%D9%84-%D9%87%D9%86%D9%8A%D8%A9-%D8%A7%D8%BA%D8%AA%D9%8A%D9%84-%D8%A8%D8%B5%D8%A7%D8%B1%D9%88%D8%AE-%D8%A3%D9%8B%D8%B7%D9%84%D9%82-%D9%85%D9%86-%D8%A8%D9%84%D8%AF-%D8%AC%D8%A7%D8%B1",صدام حسين,,"فلسطين
إيران",,"بزشكيان
حافظ الأسد
صدام حسين
مسعود بزشكيان
لهنية
الخميني
للأسد
هنية
الأسد
حافظالأسد
هنيةيتزامن
علي باقري
بيترو بارولين
إسماعيل هنية
وحافظ الأسدوأشارت
وحافظ الأسدحديث","يوتيوب
حماس","وإيران
دمشق
غزة
لطهران
فلسطين
فلسطينوفي
الفاتيكان
لإيران
بإيران
طهران
وسوريا
إيران
ليبيا
العراق
لإسرائيل",
https://misbar.com/factcheck/2022/01/09/الدبيبة-لم-يصرح-بأنه-يتم-الاستعداد-لصرف-المليار-الثالث-لمنحة-الزواج-خلال-يناير-الجاري,الدبيبة لم يُعلن استعداد الحكومة صرف المليار الثالث لمنحة الزواج خلال يناير الجاري,9 يناير 2022,أخبار,مضلل,,,,"https://www.facebook.com/101963322364871/posts/111380308089839
https://www.facebook.com/106049895286132/posts/114114214479700
https://www.facebook.com/103269871474875/posts/435821624886363
https://www.facebook.com/RasLanufonline/posts/469540894694719
https://www.facebook.com/263334987631984/posts/941194423179367
https://www.facebook.com/TripoliToua/posts/469063421444084",,"https://www.youtube.com/watch?v=_MwgxQhdvpc
https://www.facebook.com/Abdulhamidaldbaiba/
https://twitter.com/Dabaibahamid
https://www.facebook.com/LibyanGovernment/
https://www.facebook.com/pmGNUmedia
https://www.youtube.com/watch?v=wxChYWpJXWs
https://www.facebook.com/mff.gov.ly/posts/1416913942058949
https://www.facebook.com/mff.gov.ly/posts/1416197868797223",عبد الحميد الدبيبة,فيسبوك,,,"عبد الحميد الدبيبة
لعبد الحميد الدبيبة
الدبيبة","مسبار
فيسبوك",,"الله
دينار"
https://misbar.com/factcheck/2024/07/29/الفيديو-يعود-لعام-2023-وليس-لقصف-تركي-حديث-عل-شمالي-سوريا,الفيديو يعود لعام 2023 وليس لقصف تركي حديث على شمالي سوريا,29 يوليو 2024,أخبار,مضلل,,,,"https://x.com/hodajannat/status/1817660316488171649
https://x.com/alsrajy_zy75523/status/1817677644655133025
https://x.com/bentAlYemen2009/status/1817680139121287335
https://www.facebook.com/61561135815267/posts/pfbid0X6FR1qSHL2krbpmjo6Yff9p5EvAfaJpa3yiFfubNtHLvJUBFBpgX5zDAwufvwLMbl
https://www.facebook.com/abed.younes.90/videos/445633905128207/",,"https://x.com/__Gokturk78/status/1738652956755378266
https://observatornews.ro/extern/turcia-a-lansat-un-raid-aerian-in-siria-si-irak-ca-riposta-dupa-ce-12-soldati-ar-fi-fost-ucisi-de-pkk-29-de-tinte-au-fost-distruse-555602.html
https://www.msb.gov.tr/SlaytHaber/c735ca4d6ccd46d8858b7b2567737349
https://www.msb.gov.tr/SlaytHaber/c16e48dbc3e74422943caef24c5648ad
https://x.com/thhsynkrgz/status/1738643696378147043
https://www.aa.com.tr/ar/%D8%A5%D8%B3%D8%B1%D8%A7%D8%A6%D9%8A%D9%84/%D8%A3%D8%B1%D8%AF%D9%88%D8%BA%D8%A7%D9%86-%D8%B9%D9%84%D9%8A%D9%86%D8%A7-%D8%AA%D8%B9%D8%B2%D9%8A%D8%B2-%D9%82%D9%88%D8%AA%D9%86%D8%A7-%D9%84%D8%B1%D8%AF%D8%B9-%D8%A5%D8%B3%D8%B1%D8%A7%D8%A6%D9%8A%D9%84-%D8%B9%D9%86-%D9%85%D9%85%D8%A7%D8%B1%D8%B3%D8%A7%D8%AA%D9%87%D8%A7-%D8%A8%D8%AD%D9%82-%D8%A7%D9%84%D9%81%D9%84%D8%B3%D8%B7%D9%8A%D9%86%D9%8A%D9%8A%D9%86/3287918",,,سوريا,,أردوغان,"حزب العمال الكردستانيجاء
العمال الكردستاني
PKK
حزب العمال الكردستاني
لحزب العمال الكردستاني
بحزب العمال الكردستاني","وأسوس
إسرائيل
سوريا
ريزا
قره باغ
تركيا
وقنديل
وسوريا
إسرائيلكما
كارا
العراق
وليبيا
لإسرائيل",
https://misbar.com/factcheck/2021/10/23/سنفارا-لم-يتعرض-لطلق-ناري-في-ليبيا-والصورة-من-فيديو-كليب,سنفارا لم يتعرض لطلق ناري في ليبيا والصورة من فيديو كليب,23 أكتوبر 2021,موسيقى,زائف,,,,"https://www.facebook.com/yawmiaat.libiun/photos/a.109988501445768/120754650369153
https://www.facebook.com/yawmiaat.Libya/posts/203039285289378
https://www.facebook.com/bakouri.boukhazim/posts/628872015147258",,"https://www.instagram.com/sanfara7050/
https://www.tiktok.com/@sanfara.8/video/6985986873902599430?is_copy_url=1&is_from_webapp=v1
https://www.youtube.com/watch?v=cYNNH7hIT00&ab_channel=Sanfara
https://www.tiktok.com/@sanfara.8?is_copy_url=1&is_from_webapp=v1",سنفارا,فيسبوك,"ليبيا
بوسليم",,"سنفارا
ياسين",إنستغرام,"ليبيا
أبو سليم
تونس
والمغرب",بطيت عليك
https://misbar.com/factcheck/2021/09/29/الصورة-قديمة-للاجئين-سوريين-في-اليونان-وليست-لمهاجرين-جزائريين-في-إسبانيا,الصورة قديمة للاجئين سوريين في اليونان وليست لمهاجرين جزائريين في إسبانيا,29 سبتمبر 2021,أخبار,مضلل,,,,"https://facebook.com/djamal.cirta
https://twitter.com/mohamedzitout
https://twitter.com/SelimMillah
https://facebook.com/babich.zkilatchi
https://www.facebook.com/100023156018183/posts/334347444013787
https://facebook.com/LIBYA.ALHADTH.2000",,"https://www.instagram.com/p/4hftaAO8Sg/
https://www.instagram.com/p/BhjjT9oly1z/",,,إيطاليا,لله,"سيرجي كامارا
لكامارا","إنستغرام
فرونتكس","كوس
إسبانيا
سورية
البلقان
وأفغانستان
البحر الأبيض المتوسط
وأوروبا
الاتحاد الأوروبي",
https://misbar.com/factcheck/2022/09/10/الصور-قديمة-وليست-من-غرق-مركب-هجرة-غير-نظامية-في-السواحل-التونسية-حديثا,الصور قديمة وليست من غرق مركب هجرة غير نظامية في السواحل التونسية حديثًا,10 سبتمبر 2022,أخبار,مضلل,,,,"https://www.facebook.com/carthagenewstn1/posts/pfbid0f9cKMprWHVETs9i5tLyiYADa7QPS6vjvhDu2YNjUD2udUPZ4uMVy2KxCrj53DbH2l
https://www.facebook.com/kebilli.co/posts/pfbid0i3nwShWL8oxHKDSsbTQrZ3MLjNGBqUhmsR3d2LZe4g7F7VFrXah3BcfNaeKcWW7Ml
https://www.facebook.com/jamel.kahloch/posts/pfbid0MbfLoXL77QRwt59ygMsPckY6xaK5Rd7yv7StBdoxSSvehUGCtFTMRVyLFjp9Gd12l
https://www.facebook.com/FahminoDon/posts/pfbid02WsJUt2zS3R5habcUN42wnkXsPAwWNNbgbJS1sDaov35Ddt5Cd4E9vT5Ub7aH1sxhl
https://www.facebook.com/100064600097692/posts/pfbid029iKvWJBbendDMrqRKcKQi7CfHbGfDYAYmjhafFgEkQdNsP8rPBigG9QND4wN4h2Pl
https://www.facebook.com/kais.said.Tunis/posts/pfbid02atFKqZUp6NwJrZ8sswwxWu3rhpFJgW4pfr942LvBtenkimofwN1ERzu5Run8xDCul
https://www.facebook.com/776873605823751/posts/pfbid0AxBrRe4N7HBthfayNA3Y56W4LjUw5UPLsEetb21xTjApaWn4yoRj33tJu3sF5r7vl",,"https://www.dw.com/en/boat-carrying-migrants-runs-aground-in-sicily/a-17128130
https://elpais.com/internacional/2013/09/30/album/1380554598_859645.html#foto_gal_7
https://www.almefer.com/dreamscape-of-iceland#1
https://www.dailymail.co.uk/news/article-3117954/Clinging-dear-life-terrified-migrants-clamber-sinking-ship-taking-Mediterranean-travelled-sink-deaths.html?ito=social-facebook
https://www.voanews.com/a/munich-12200-refugees-arrived-saturday/2961794.html
https://abcnews.go.com/International/dozens-refugees-die-boat-sinks-off-coast-greece/story?id=33748347
https://stock.adobe.com/contributor/200817423/dudarev-mikhail?load_type=author&prev_url=detail&asset_id=170357889
https://www.ilpost.it/2015/09/19/crisi-migranti-croazia-ungheria/greece-migrants-52/
https://www.mosaiquefm.net/ar/%D8%AA%D9%88%D9%86%D8%B3-%D8%A3%D8%AE%D8%A8%D8%A7%D8%B1-%D9%88%D8%B7%D9%86%D9%8A%D8%A9/1084674/%D8%BA%D8%B1%D9%82-%D9%85%D8%B1%D9%83%D8%A8-%D9%81%D9%8A-%D8%B3%D9%88%D8%A7%D8%AD%D9%84-%D8%A7%D9%84%D8%B4%D8%A7%D8%A8%D8%A9-%D8%A7%D9%84%D8%A8%D8%AD%D8%AB-%D8%B9%D9%86-%D9%85%D9%81%D9%82%D9%88%D8%AF%D9%8A%D9%86-%D9%85%D8%AA%D9%88%D8%A7%D8%B5%D9%84",,فيسبوك,,,"دوداريف ميخائيل
حسام الجبابلي
بتروس جيناكوريس
ديميتريس كاراباناجيوتيس","دايلي ميل
إنستغرام
Adobe Stock
أسوشيتد برس
رويترز","تونس
لليبيا
إيطاليا
البحر الأبيض المتوسط
تركيا
صقلية
ليسبلو
ليسبوس",
